Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Fature 7,Feature 8,Feature 9,Target
0,200,4816.64,2607.68,0,0.822981,894.427,200,1.02778,1
721.11,565.685,4669.05,3538.36,282.843,0.359559,1697.06,0,0.58789,1
565.685,447.214,4638.97,3394.11,200,0.460063,1562.05,0,0.721073,1
447.214,282.843,4617.36,3255.76,0,0.479063,1442.22,0,0.77206,1
282.843,200,4604.35,3124.1,0,0.557067,1341.64,0,0.858936,1
200,0,4600,3000,0,0.584692,1264.91,0,0.908442,1
0,0,4604.35,2884.44,0,0.595675,1166.19,0,1.01427,1
200,0,4617.36,2778.49,0,0.70419,1077.03,0,1.14247,1
632.456,721.11,4472.14,3676.96,200,0.358693,1843.91,200,0.695082,1
447.214,565.685,4440.72,3538.36,0,0.366357,1720.47,0,0.807205,1
282.843,400,4418.14,3405.88,0,0.447184,1612.45,0,0.897034,1
200,200,4404.54,3280.24,0,0.486593,1523.15,0,0.959691,1
0,0,4400,3162.28,0,0.527521,1442.22,200,0.999171,1
200,200,4404.54,3052.87,0,0.548959,1341.64,0,1.08701,1
282.843,200,4418.14,2952.96,0,0.557269,1264.91,0,1.17836,1
447.214,200,4440.72,2863.56,0,0.602139,1216.55,0,1.26497,1
600,824.621,4275.51,3671.51,282.843,0.340638,2000,0,0.799387,1
400,632.456,4242.64,3577.71,200,0.366357,1886.8,0,0.920499,1
200,447.214,4219,3492.85,200,0.366357,1788.85,0,1.02869,1
0,282.843,4204.76,3417.6,200,0.423096,1708.8,0,1.08646,1
200,200,4200,3328.66,200,0.452971,1612.45,0,1.095,1
282.843,282.843,4204.76,3224.9,0,0.476555,1523.15,0,1.1403,1
447.214,400,4219,3130.5,0,0.490105,1456.02,0,1.17133,1
565.685,400,4242.64,3046.31,0,0.490567,1414.21,0,1.22434,1
632.456,894.427,4079.22,3498.57,447.214,0.311047,2163.33,200,0.909733,1
447.214,721.11,4044.75,3400,400,0.362394,2059.13,0,1.03896,1
282.843,565.685,4019.95,3310.59,400,0.366357,1969.77,0,1.21103,1
200,447.214,4005,3231.1,400,0.366357,1886.8,0,1.26036,1
282.843,400,4000,3162.28,282.843,0.374973,1788.85,200,1.22085,1
